Value	Count
00	1.53%
01	1.53%
03	0.76%
05	1.53%
07	0.76%
09	3.07%
10	0.76%
11	0.76%
12	0.76%
14	0.76%
15	3.84%
16	0.76%
20	0.76%
21	0.76%
24	1.53%
26	1.53%
27	0.76%
28	0.76%
30	1.53%
31	0.76%
33	3.07%
35	1.53%
36	2.3%
37	1.53%
38	3.07%
39	1.53%
41	3.07%
43	0.76%
44	1.53%
46	1.53%
47	1.53%
48	0.76%
49	1.53%
50	2.3%
51	1.53%
52	1.53%
54	0.76%
55	0.76%
56	1.53%
57	0.76%
59	1.53%
60	3.07%
61	1.53%
62	0.76%
63	0.76%
64	0.76%
67	3.84%
68	0.76%
69	1.53%
70	3.84%
72	1.53%
73	0.76%
75	3.07%
76	2.3%
80	0.76%
81	0.76%
82	0.76%
83	1.53%
85	0.76%
87	1.53%
88	0.76%
91	0.76%
92	2.3%
94	1.53%
95	2.3%
96	0.76%
98	0.76%
